Tahun;Ekspor_Hasil_Minyak;Impor_Hasil_Minyak
1996;10.689;10.134
1997;10.221;11.748
1998;8.436;10.941
1999;7.825;12.250
2000;8.787;13.971
2001;7.008;11.751
2002;7.574;15.116
2003;7.425;13.589
2004;6.800;15.972
2005;5.994;21.065
2006;7.047;18.658
2007;6.265;19.476
2008;5.724;22.391
2009;5.406;19.732
2010;7.323;25.124
2011;6.932;28.840
2012;5.630;28.535
2013;5.915;29.612
2014;5.557;29.094
2015;4.626;25.405
2016;2.868;23.958
2017;4.059;26.933
2018;3.122;26.737
2019;3.811;23.449
2020;4.820;20.790
2021;3.713;21.928
