Tahun;Ekspor_Minyak_Mentah;Impor_Minyak_Mentah
1996;38.255;38.255
1997;38.977;38.977
1998;36.914;36.914
1999;35.903;35.903
2000;29.226;29.226
2001;32.857;32.857
2002;29.054;29.054
2003;26.518;26.518
2004;23.468;23.468
2005;21.488;21.488
2006;18.128;18.128
2007;18.175;18.175
2008;18.235;18.235
2009;17.967;17.967
2010;18.132;18.132
2011;17.820;17.820
2012;14.973;14.973
2013;13.017;13.017
2014;12.400;12.400
2015;15.554;15.554
2016;16.956;16.956
2017;13.571;13.571
2018;10.215;10.215
2019;3.577;3.577
2020;4.396;4.396
2021;6.017;6.017
