Negara Asal;2017;2018;2019;2020;2021
Tiongkok1;"2.408,3";"2.339,2";"1.914,5";"1.654,1";"1.784,5"
Kanada;"1.266,1";"1.269,4";"963,3";"1.203,8";"1.804,2"
Mesir;"729,1";"794,9";"681,3";"753,7";"1.136,2"
Rusia;"962,3";"1.044,1";"818,7";"743,3";"974,6"
Belarusia;"660,9";"738,8";"640,2";"568,9";"905,5"
Australia;"332,9";"286,7";"185,5";"188,3";"286,7"
Yordania;"257,9";"281,3";"181,9";"155,9";"243,7"
Jerman;"249,3";"156,0";"111,8";"162,7";"151,8"
Vietnam;"75,7";"112,3";"66,5";"116,1";"183,6"
Malaysia;"328,6";"344,0";"99,2";"103,7";"88,6"
Laos;"44,6";"83,3";"91,9";"148,6";"96,4"
Norwegia;"22,6";"20,8";"46,0";"51,3";"73,5"
Taiwan;"27,1";"87,9";"53,6";"26,8";"43,1"
Lainnya ;"562,1";"524,4";"280,1";"371,5";"351,3"
Kanada;"302,3";"362,0";"300,9";"307,7";"545,7"
Rusia;"249,7";"298,1";"257,9";"210,7";"326,1"
Belarusia;"158,0";"204,5";"192,2";"142,0";"268,8"
Vietnam;"24,2";"41,0";"21,8";"36,2";"92,3"
Mesir;"40,0";"50,5";"46,9";"43,5";"91,0"
Yordania;"59,8";"64,1";"49,7";"39,9";"87,9"
Jerman;"66,0";"47,4";"36,9";"44,8";"44,4"
Norwegia;"10,0";"9,2";"20,5";"18,7";"35,3"
Australia;"37,7";"34,1";"22,3";"18,9";"34,5"
Malaysia;"99,2";"111,9";"37,2";"35,0";"33,9"
Laos;"10,5";"22,8";"27,1";"38,0";"33,8"
Taiwan;"3,5";"12,9";"8,5";"4,1";"8,9"
